country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,52,,,,,64,,,,,69,,,,,75,,77,,78,,76
Namibia,39,,,,,49,,,,,57,,,,,63,,63,,62,,63
Niger,15,,,,,19,,,,,30,,,,,32,,33,,34,,35
Nigeria,20,,,,,24,,,,,34,,,,,39,,39,,43,,38
Nicaragua,47,,,,,53,,,,,66,,,,,71,,73,,73,,70
Netherlands,75,,,,,78,,,,,80,,,,,84,,85,,85,,85
Norway,72,,,,,81,,,,,84,,,,,86,,86,,86,,87
Nepal,20,,,,,25,,,,,37,,,,,47,,45,,50,,54
Nauru,35,,,,,40,,,,,52,,,,,57,,59,,60,,60
New Zealand,75,,,,,80,,,,,82,,,,,85,,86,,85,,85
Oman,61,,,,,62,,,,,67,,,,,69,,69,,70,,70
Pakistan,22,,,,,28,,,,,33,,,,,40,,43,,44,,45
Panama,62,,,,,67,,,,,72,,,,,75,,77,,79,,78
Peru,48,,,,,59,,,,,70,,,,,76,,75,,75,,71
Philippines,36,,,,,38,,,,,48,,,,,57,,60,,60,,58
Palau,47,,,,,49,,,,,58,,,,,65,,67,,66,,65
Papua New Guinea,25,,,,,26,,,,,33,,,,,36,,33,,30,,30
Poland,66,,,,,71,,,,,75,,,,,80,,82,,82,,82
North Korea,46,,,,,49,,,,,53,,,,,43,,73,,72,,68
Portugal,74,,,,,80,,,,,84,,,,,87,,88,,87,,88
Paraguay,48,,,,,59,,,,,68,,,,,72,,73,,74,,72
Qatar,52,,,,,54,,,,,67,,,,,73,,72,,75,,76
Romania,69,,,,,72,,,,,74,,,,,78,,78,,79,,78
Russia,54,,,,,50,,,,,70,,,,,74,,77,,79,,79
Rwanda,19,,,,,26,,,,,39,,,,,44,,48,,47,,49
Saudi Arabia,65,,,,,67,,,,,69,,,,,71,,73,,72,,74
Sudan,25,,,,,27,,,,,36,,,,,43,,45,,45,,44
Senegal,21,,,,,25,,,,,37,,,,,45,,49,,51,,50
Singapore,64,,,,,70,,,,,82,,,,,87,,88,,88,,89
Solomon Islands,31,,,,,32,,,,,40,,,,,45,,47,,46,,47
Sierra Leone,14,,,,,16,,,,,27,,,,,35,,39,,38,,41
El Salvador,52,,,,,65,,,,,73,,,,,77,,78,,78,,78
San Marino,69,,,,,73,,,,,75,,,,,79,,81,,77,,77
Somalia,11,,,,,12,,,,,17,,,,,21,,25,,26,,27
Serbia,44,,,,,63,,,,,63,,,,,72,,73,,77,,72
South Sudan,18,,,,,19,,,,,23,,,,,27,,30,,31,,34
Sao Tome and Principe,33,,,,,37,,,,,47,,,,,52,,55,,60,,59
Suriname,45,,,,,58,,,,,65,,,,,71,,72,,72,,63
Slovak Republic,65,,,,,73,,,,,76,,,,,82,,84,,82,,82
Slovenia,73,,,,,74,,,,,77,,,,,81,,83,,85,,84
Sweden,72,,,,,76,,,,,81,,,,,84,,85,,85,,85
Eswatini,36,,,,,44,,,,,51,,,,,55,,60,,58,,56
Seychelles,44,,,,,48,,,,,59,,,,,73,,75,,74,,75
Syria,46,,,,,52,,,,,58,,,,,60,,62,,62,,64
Chad,15,,,,,16,,,,,22,,,,,27,,28,,27,,29
Togo,19,,,,,25,,,,,30,,,,,40,,43,,41,,44
Thailand,43,,,,,59,,,,,68,,,,,76,,81,,82,,82
Tajikistan,42,,,,,46,,,,,58,,,,,68,,69,,70,,67
Turkmenistan,54,,,,,62,,,,,68,,,,,72,,73,,74,,75
Timor-Leste,28,,,,,31,,,,,41,,,,,47,,50,,50,,52
Tonga,43,,,,,45,,,,,53,,,,,54,,56,,57,,57
Trinidad and Tobago,53,,,,,66,,,,,72,,,,,77,,77,,76,,75
Tunisia,44,,,,,58,,,,,61,,,,,63,,65,,68,,67
Turkey,57,,,,,64,,,,,66,,,,,76,,77,,77,,76
Tuvalu,37,,,,,40,,,,,49,,,,,52,,52,,52,,52
Tanzania,20,,,,,23,,,,,33,,,,,38,,40,,42,,43
Uganda,22,,,,,28,,,,,36,,,,,43,,46,,48,,49
Ukraine,53,,,,,54,,,,,65,,,,,69,,71,,77,,76
Uruguay,65,,,,,70,,,,,78,,,,,81,,82,,83,,82
USA,78,,,,,81,,,,,83,,,,,85,,86,,85,,86
Uzbekistan,55,,,,,56,,,,,68,,,,,73,,74,,75,,75
St. Vincent and the Grenadines,49,,,,,61,,,,,68,,,,,72,,76,,76,,69
Venezuela,49,,,,,60,,,,,67,,,,,77,,75,,74,,75
Vietnam,37,,,,,44,,,,,59,,,,,68,,70,,69,,68
Vanuatu,31,,,,,31,,,,,38,,,,,45,,44,,46,,47
Samoa,41,,,,,39,,,,,48,,,,,53,,54,,55,,55
Yemen,28,,,,,30,,,,,39,,,,,39,,41,,42,,42
South Africa,43,,,,,51,,,,,63,,,,,70,,71,,71,,71
Zambia,28,,,,,34,,,,,45,,,,,52,,53,,54,,56
Zimbabwe,30,,,,,31,,,,,46,,,,,56,,57,,55,,55
